iter	Passed	Remaining
0	60	60717
1	73	36519
2	84	28173
3	96	24085
4	114	22879
5	130	21647
6	144	20509
7	160	19954
8	172	19016
9	182	18082
10	193	17433
11	203	16726
12	214	16264
13	224	15804
14	234	15427
15	248	15292
16	259	15022
17	270	14731
18	281	14513
19	291	14290
20	302	14089
21	313	13937
22	324	13786
23	334	13605
24	345	13478
25	355	13335
26	366	13220
27	377	13110
28	388	12993
29	400	12949
30	412	12887
31	422	12783
32	434	12739
33	444	12631
34	454	12520
35	463	12409
36	473	12315
37	482	12212
38	491	12120
39	502	12053
40	511	11973
41	521	11884
42	530	11801
43	539	11721
44	548	11645
45	557	11572
46	567	11508
47	578	11483
48	588	11424
49	598	11370
50	607	11310
51	617	11251
52	626	11193
53	635	11139
54	645	11092
55	655	11046
56	664	11000
57	674	10955
58	683	10907
59	693	10860
60	702	10819
61	712	10779
62	722	10742
63	731	10699
64	740	10657
65	750	10617
66	759	10582
67	769	10545
68	778	10504
69	788	10470
70	797	10433
71	806	10398
72	816	10366
73	825	10334
74	835	10309
75	845	10274
76	854	10240
77	863	10207
78	873	10178
79	882	10148
80	891	10116
81	901	10088
82	909	10051
83	919	10027
84	928	9998
85	938	9972
86	947	9942
87	956	9916
88	966	9888
89	975	9861
90	984	9839
91	995	9826
92	1007	9821
93	1016	9798
94	1026	9774
95	1035	9748
96	1044	9723
97	1053	9699
98	1064	9685
99	1074	9669
100	1084	9654
101	1094	9633
102	1104	9617
103	1113	9595
104	1122	9570
105	1132	9548
106	1141	9527
107	1151	9507
108	1162	9504
109	1172	9488
110	1181	9466
111	1190	9441
112	1199	9418
113	1209	9396
114	1218	9375
115	1227	9353
116	1236	9331
117	1246	9313
118	1255	9292
119	1264	9275
120	1274	9257
121	1283	9237
122	1293	9222
123	1303	9211
124	1314	9200
125	1324	9190
126	1337	9193
127	1350	9199
128	1362	9199
129	1375	9203
130	1387	9206
131	1400	9207
132	1412	9205
133	1425	9210
134	1439	9224
135	1452	9224
136	1464	9222
137	1476	9224
138	1489	9227
139	1501	9222
140	1523	9281
141	1545	9335
142	1557	9333
143	1571	9342
144	1583	9339
145	1598	9351
146	1611	9349
147	1623	9345
148	1634	9337
149	1644	9316
150	1653	9297
151	1663	9277
152	1672	9257
153	1681	9237
154	1691	9218
155	1700	9199
156	1710	9181
157	1719	9161
158	1728	9141
159	1737	9123
160	1747	9106
161	1757	9090
162	1766	9072
163	1775	9052
164	1785	9035
165	1794	9016
166	1804	9000
167	1813	8983
168	1823	8964
169	1832	8944
170	1841	8927
171	1851	8912
172	1860	8894
173	1869	8875
174	1878	8857
175	1888	8840
176	1897	8823
177	1906	8805
178	1915	8787
179	1924	8769
180	1934	8751
181	1943	8733
182	1952	8715
183	1961	8699
184	1970	8681
185	1979	8665
186	1989	8648
187	1999	8634
188	2008	8618
189	2017	8601
190	2027	8585
191	2036	8569
192	2045	8552
193	2055	8541
194	2066	8529
195	2076	8518
196	2085	8501
197	2095	8488
198	2104	8471
199	2114	8456
200	2123	8442
201	2132	8426
202	2142	8410
203	2151	8394
204	2161	8381
205	2170	8364
206	2181	8356
207	2191	8346
208	2201	8330
209	2210	8315
210	2220	8301
211	2229	8285
212	2238	8271
213	2247	8255
214	2256	8240
215	2266	8224
216	2275	8209
217	2285	8197
218	2294	8182
219	2303	8168
220	2313	8153
221	2322	8140
222	2332	8125
223	2341	8110
224	2349	8092
225	2358	8078
226	2367	8063
227	2377	8050
228	2386	8035
229	2395	8019
230	2404	8005
231	2414	7991
232	2423	7977
233	2432	7962
234	2442	7950
235	2451	7936
236	2460	7922
237	2470	7908
238	2481	7899
239	2490	7886
240	2499	7871
241	2508	7858
242	2518	7844
243	2527	7829
244	2536	7817
245	2546	7803
246	2556	7793
247	2563	7774
248	2573	7760
249	2583	7749
250	2592	7736
251	2601	7723
252	2609	7705
253	2619	7693
254	2628	7680
255	2638	7668
256	2648	7656
257	2657	7643
258	2666	7629
259	2674	7611
260	2684	7600
261	2693	7587
262	2703	7574
263	2712	7561
264	2721	7548
265	2730	7535
266	2740	7522
267	2749	7510
268	2758	7495
269	2767	7482
270	2775	7466
271	2784	7453
272	2794	7441
273	2803	7428
274	2813	7417
275	2822	7404
276	2832	7392
277	2840	7376
278	2849	7364
279	2858	7351
280	2867	7338
281	2877	7327
282	2887	7316
283	2897	7304
284	2906	7292
285	2915	7279
286	2925	7267
287	2934	7255
288	2943	7241
289	2952	7228
290	2962	7217
291	2971	7205
292	2979	7190
293	2989	7179
294	2999	7167
295	3008	7155
296	3017	7143
297	3027	7131
298	3035	7117
299	3046	7108
300	3056	7097
301	3066	7087
302	3076	7076
303	3086	7066
304	3095	7054
305	3105	7042
306	3113	7029
307	3124	7019
308	3137	7016
309	3150	7011
310	3162	7007
311	3174	7001
312	3186	6993
313	3198	6988
314	3210	6982
315	3221	6972
316	3232	6963
317	3242	6954
318	3253	6946
319	3265	6940
320	3278	6934
321	3289	6926
322	3301	6920
323	3314	6915
324	3326	6909
325	3339	6904
326	3351	6898
